q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
2.9096751134279484,-0.24971546849705317,1.9599701022835267,-1.520008614839241,1.7502843480398944,-2.4695319961673543,0.21587355807232883,0.19682482167630527,0.6756347833696128,5.0
2.9099870028347676,-0.2499440870976736,1.9599913978758967,-1.5199832209810107,1.7564068980275083,-2.4699700501509088,0.2152431184220925,0.19684203906744796,0.675666767021407,5.0
2.9099930847670907,-0.24994589925584362,1.9599899918259023,-1.5199719758539019,1.762879054906078,-2.4699635368957225,0.21461260997497555,0.1968552523402365,0.6756992947429129,5.0
2.9099959306720318,-0.24994472679262733,1.9599840611564021,-1.5199824011313463,1.7692172143341642,-2.4699812754874486,0.21398205855651584,0.19686446095345703,0.6757323652017992,5.0
2.9099862390528997,-0.24994341513489404,1.9599853930115363,-1.5199830436194455,1.7755706974895522,-2.469971250427955,0.2133514899940113,0.19686966452992613,0.675765977043505,5.0
2.909994535047333,-0.2499430962540862,1.9599830575249726,-1.5199841252057247,1.7819914842574787,-2.469961198108925,0.2127209301154621,0.19687086285650596,0.6758001288912938,5.0
2.9099946680410915,-0.2499472169170997,1.959982172175111,-1.5199854635376986,1.7883393167440271,-2.4699844773590827,0.21209040474851268,0.19686805588411327,0.6758348193463107,5.0
2.909996089540928,-0.24994471516890188,1.9599825871999312,-1.5199926575416713,1.794798476749147,-2.469962026198489,0.21145993971939395,0.19686124372772124,0.6758700469876393,5.0
2.9099856531151933,-0.24994423417277753,1.9599827735069446,-1.5199751269375936,1.8012413742000393,-2.469972681264745,0.21082956085186536,0.19685042666635483,0.6759058103723605,5.0
2.90998733440349,-0.24994223143280683,1.9599929730827845,-1.5199846545779325,1.807428687297088,-2.4699811561486107,0.21019929396615716,0.1968356051430794,0.6759421080356113,5.0
2.9099855162183776,-0.24994311557357665,1.9599933262441465,-1.5199815848181344,1.8138748307470764,-2.4699726027536766,0.20956916487791288,0.1968167797649824,0.675978938490644,5.0
2.9099944744325823,-0.24994343918261216,1.959975208657749,-1.5199835564117128,1.820341253817735,-2.4699809641088692,0.2089391993971319,0.1967939513031488,0.6760163002288887,5.0
2.909985548712659,-0.2499437912871423,1.9599856659590058,-1.519984929434008,1.8267901064296763,-2.4699707758978304,0.20830942332711222,0.1967671206926291,0.6760541917200136,5.0
2.909978070594461,-0.24994300275698028,1.959985584703292,-1.519983429659327,1.8330890054891424,-2.4699727840179833,0.20767986246339362,0.19673628903240142,0.6760926114119886,5.0
2.909987174624512,-0.24994314045392313,1.9599760412099512,-1.5199839377840696,1.8394878501284668,-2.4699593846913723,0.20705054259270106,0.1967014575853262,0.6761315577311486,5.0
2.9099873884415595,-0.24994299147617938,1.9599770703309365,-1.5199756760854708,1.8458611760713244,-2.4699719068275163,0.20642148949188846,0.19666262777809468,0.6761710290822578,5.0
2.9099855628374613,-0.24994518376562397,1.960002780699505,-1.5199763200919665,1.8524715398693103,-2.469972723575536,0.20579272892688286,0.19661980120117034,0.6762110238485749,5.0
